산업단지,구분,음식료(백만달러),섬유의복(백만달러),목재종이(백만달러),석유화학(백만달러),비금속(백만달러),철강(백만달러),기계(백만달러),전기전자(백만달러),운송장비(백만달러),기타(백만달러),계(백만달러)
서울,국가,0.156894737,180.4426667,28.889,23.1852,0.013,0,217.2313333,249.7997746,0.444,2.66875,702.8306193
녹산,국가,2.223,21.2034,3,16.072,0.039,99.31,315.245,660.481,43.8156,1.854,1163.243
대구,국가,0,0,0,0,0,0.933,4.054666667,883.002,26.518,0,914.5076667
남동,국가,3.615,1.563,1.075,117.4608182,0,32.099,182.1660769,446.4247846,54.67033333,62.0635,901.1375131
부평,국가,5.973,28.532,8.214,10.96216667,0,0.2408,53.35790909,152.6195193,9.565,0,269.4643951
주안,국가,0.013,13.2,0.411,1.48,0,21.16,93.259,260.6401667,38.477,1.574,430.2141667
광주첨단,국가,0,0,0,3.156,0,0,84.349,969.187,1.08,0,1057.772
빛그린,국가,0,0,0,4.254,0,0,0,0.0275,0.921,0,5.2025
온산,국가,0,0,72.147,3003.530347,1.12,1391.686,40.726,6,314.1594,0,4829.368747
울산ㆍ미포,국가,12.958,25.138,0,5087.920315,0,62.496,499.924,12.34176923,11157.0295,0.912,16858.71958
반월,국가,0.894,102.8468889,39.62,230.7153542,20.036,104.6341667,393.9572634,570.9577216,246.0715,0,1709.732895
시화,국가,0.849,2.067,15.633,229.036,0.455,153.6758,201.7347027,126.2848346,106.173,0,835.9083373
시화MTV,국가,0,0,0,14.408,1.466,0.805,57.69066667,217.77,0,0,292.1396667
송산그린시티,국가,,,,,,,,,,,
파주탄현,국가,0,0,0,0.139,0,0,0.82,0,0,0,0.959
동두천,국가,,,,,,,,,,,
북평,국가,0.2205,0,0,0,0,0,0,0,0,0,0.2205
오송생명과학,국가,18,0,0,106.8742,0,0,0,64.518,0,0,189.3922
석문,국가,0,0,0,2.23,0,0.072,0.213,0,16.613,0,19.128
아산,국가,1.87,0,0.068,423.051,0.854,393.645,42.3405,18.259,112.492,0,992.5795
장항생태,국가,0.363,0,0,0,0,0,0,0,0,0,0.363
국가식품클러스터,국가,14.18092,0,0,0,0,0,0,0,0,0,14.18092
국가식품클러스터(외),국가,,,,,,,,,,,
군산,국가,5.869,0,22.083,21.085,0,37.528,120.731,0.135,45.318,0,252.749
군산2,국가,32.357,0,0,51.32466667,0.4345,45.465,11.191,0.485,0.669,0,141.9261667
익산,국가,0,2.074,0,16.378,0,0,0.058,24.58,0.014,57.737,100.841
광양,국가,0,0,0,26.808,6.5,1867.84,0,0,0,0,1901.148
대불,국가,0,0.344,0,22.994,4.248,4.419,0,0,11.81914286,0,43.82414286
대불(외),국가,0,0,0,0,0,0,0,0,0,0,0
여수,국가,0,0,0,7124.0296,0,134.567,0,0,0,0,7258.5966
구미,국가,0,58.4645,0.8525,147.6223214,82.489,2.383,413.2001022,3704.409931,1.45725,0,4410.878605
구미(외),국가,0,0,0,39.327,36.276,0,7.0082,56.689,15.0941,0,154.3943
포항,국가,0,0,0,69.754,4.79163,767.103,1.401,0,1.944,0,844.99363
포항블루밸리,국가,0,0,0,0,0,0,0,0,0,0,0
경남항공,국가,,,,,,,,,,,
밀양나노,국가,,,,,,,,,,,
안정,국가,0,0,0,0,0,0,0,0,0,0,0
진해,국가,,,,,,,,,,,
창원,국가,3.68,0,0,0,0,278.623,1574.739968,950.01408,1273.780541,0,4080.837589
